,Year,January: AS,March: AS,May: AS,June: AS,July: AS,August: AS,September: AS,October: AS,November: AS,December: AS,January- February (winter): AS,March-may (pre-monsoon): AS,June- September (monsoon): AS,October- December (post-monsoon): AS,January - December (Whole Year): AS
0,1891,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
1,1892,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2
2,1893,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
3,1894,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
4,1895,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
5,1896,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
6,1897,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
7,1898,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
8,1899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1901,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
11,1902,0,0,1,1,0,0,0,2,0,1,0,1,1,3,5
12,1903,0,0,1,1,1,0,0,0,0,0,0,1,2,0,3
13,1904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1905,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
15,1906,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
16,1907,0,0,0,2,0,0,0,0,1,0,0,0,2,1,3
17,1908,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
18,1909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1911,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
21,1912,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
22,1913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1916,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
26,1917,0,0,0,1,0,0,0,1,0,0,0,0,1,1,2
27,1918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1919,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
29,1920,0,0,0,1,0,0,0,0,1,0,0,0,1,1,2
30,1921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1922,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
32,1923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1925,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2
35,1926,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
36,1927,0,0,1,0,0,0,0,0,1,0,0,1,0,1,2
37,1928,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
38,1929,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
39,1930,0,0,0,2,0,0,0,1,0,0,0,0,2,1,3
40,1931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1932,0,0,2,0,0,0,0,1,0,0,0,2,0,1,3
42,1933,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
43,1934,0,0,0,1,0,0,0,1,0,0,0,0,1,1,2
44,1935,1,0,0,1,0,0,0,0,0,0,1,0,1,0,2
45,1936,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
46,1937,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
47,1938,0,0,1,0,0,0,0,0,1,0,0,1,0,1,2
48,1939,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2
49,1940,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2
50,1941,0,0,1,0,0,0,0,1,0,0,0,1,0,1,2
51,1942,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
52,1943,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
53,1944,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
54,1945,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
55,1946,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
56,1947,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2
57,1948,0,0,0,2,0,0,0,2,1,0,0,0,2,3,5
58,1949,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
59,1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1951,0,0,0,1,0,0,0,0,1,0,0,1,1,1,3
61,1952,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
62,1953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,1954,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2
64,1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,1956,0,0,0,1,0,0,0,1,0,0,0,0,1,1,2
66,1957,0,0,1,0,0,0,0,1,1,0,0,1,0,2,3
67,1958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,1959,0,0,1,1,1,0,0,1,0,0,0,1,2,1,4
69,1960,0,0,1,0,1,0,0,0,2,0,0,1,1,2,4
70,1961,0,0,1,1,0,1,0,0,0,0,0,1,2,0,3
71,1962,0,0,1,0,1,0,0,0,0,0,0,1,1,0,2
72,1963,0,0,1,0,0,0,0,1,1,1,0,1,0,3,4
73,1964,0,0,0,1,0,1,0,0,1,0,0,0,2,1,3
74,1965,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
75,1966,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
76,1967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,1968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,1969,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
79,1970,0,0,1,0,0,0,0,1,1,0,0,1,0,2,3
80,1971,0,0,0,1,0,0,0,1,0,1,0,0,1,2,3
81,1972,0,0,0,1,1,0,0,1,1,0,0,0,2,2,4
82,1973,0,0,1,1,1,0,0,1,0,0,0,1,2,1,4
83,1974,0,0,1,0,0,0,1,1,0,0,0,2,1,1,4
84,1975,0,0,2,1,0,0,0,2,0,0,0,2,1,2,5
85,1976,0,0,1,0,0,0,0,1,1,0,0,1,0,2,3
86,1977,0,0,0,1,0,0,0,1,2,0,0,0,1,3,4
87,1978,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
88,1979,0,0,0,1,0,0,1,0,1,0,0,0,2,1,3
89,1980,0,0,0,1,0,0,0,1,1,0,0,0,1,2,3
90,1981,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
91,1982,0,0,0,0,1,0,0,1,3,0,0,0,1,4,5
92,1983,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
93,1984,0,0,0,1,0,0,0,0,0,1,0,0,1,1,2
94,1985,0,0,1,0,0,0,0,1,0,0,0,1,0,1,2
95,1986,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
96,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,1988,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
98,1989,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
99,1990,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
100,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,1992,0,0,0,1,0,0,0,1,0,2,0,0,1,3,4
102,1993,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
103,1994,0,0,0,1,0,0,0,0,1,0,0,0,1,1,2
104,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
105,1996,0,0,0,1,0,0,0,1,0,0,0,0,1,1,2
106,1997,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
107,1998,0,0,1,1,0,0,1,2,0,1,0,1,2,3,6
108,1999,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
109,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,2001,0,0,1,0,0,0,1,1,0,0,0,1,1,1,3
111,2002,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
112,2003,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
113,2004,0,0,1,1,0,0,1,0,2,0,0,1,2,2,5
114,2005,0,0,0,1,0,0,1,0,0,0,0,0,2,0,2
115,2006,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
116,2007,0,0,0,2,0,0,0,1,0,0,0,0,2,1,3
117,2008,0,0,0,1,0,0,0,1,0,0,0,0,1,1,2
118,2009,0,0,0,2,0,0,0,0,1,0,0,0,2,1,3
119,2010,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
120,2011,0,0,0,1,0,0,0,1,2,1,0,0,1,4,5
121,2012,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2
122,2013,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
123,2014,0,0,0,1,0,0,0,1,0,0,0,0,1,1,2
124,2015,0,0,0,2,0,0,0,2,1,0,0,0,2,3,5
125,2016,0,0,0,1,0,0,0,0,0,1,0,0,1,1,2
